season,episode,title,character,dialogue
1,01, Monica Gets A Roommate ,All, Hey! Paul! Hi! The Wine Guy! Hey!
1,01, Monica Gets A Roommate ,Chandler," I'm sorry, I didn't catch your name. Paul,
was it?"
1,01, Monica Gets A Roommate ,Monica," Okay, umm-umm, I'll
just--I'll be right back, I just gotta go ah, go ah..."
1,01, Monica Gets A Roommate ,Ross, A wandering?
1,01, Monica Gets A Roommate ,Monica," Change!  Okay,
sit down. (Shows Paul in) Two seconds."
1,01, Monica Gets A Roommate ,Phoebe," Ooh, I just pulled out four eyelashes. That
can't be good."
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Joey,"  Hey, Paul!"
1,01, Monica Gets A Roommate ,Paul, Yeah?
1,01, Monica Gets A Roommate ,Joey," Here's a little tip, she
really likes it when you rub her neck in the same spot over and over and over again until
it starts to get a little red."
1,01, Monica Gets A Roommate ,Monica," (yelling from the bedroom)
Shut up, Joey!"
1,01, Monica Gets A Roommate ,Ross," So Rachel, what're you, uh... what're you up
to tonight?"
1,01, Monica Gets A Roommate ,Rachel," Well, I was kinda supposed to be headed for
Aruba on my honeymoon, so nothing!"
1,01, Monica Gets A Roommate ,Ross," Right, you're not even getting your honeymoon,
God.. No, no, although, Aruba, this time of year... talk about your- (thinks) -big
lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are
coming over to help me put together my new furniture."
1,01, Monica Gets A Roommate ,Chandler," (deadpan) Yes, and we're very excited
about it. "
1,01, Monica Gets A Roommate ,Rachel," Well actually thanks, but I think I'm just
gonna hang out here tonight.  It's been kinda a long day."
1,01, Monica Gets A Roommate ,Ross," Okay, sure."
1,01, Monica Gets A Roommate ,Joey," Hey Pheebs, you wanna help?"
1,01, Monica Gets A Roommate ,Phoebe," Oh, I wish I could, but I don't want to."
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Phoebe," (singing) Love is sweet as
summer showers, love is a wondrous work of art, but your love oh your love, your love...is
like a giant pigeon...crapping on my heart.  La-la-la-la-la- (some guy gives her some
change and to that guy) Thank you. (sings) La-la-la-la...ohhh!"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Ross," (squatting and reading the instructions) I'm
supposed to attach a brackety thing to the side things, using a bunch of these little worm
guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Joey," I'm thinking we've got a
bookcase here."
1,01, Monica Gets A Roommate ,Chandler, It's a beautiful thing.
1,01, Monica Gets A Roommate ,Joey, (picking up a leftover part) What's this?
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Joey, Which goes where?
1,01, Monica Gets A Roommate ,Chandler," I have no
idea."
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Joey, Done with the bookcase!
1,01, Monica Gets A Roommate ,Chandler, All finished!
1,01, Monica Gets A Roommate ,Ross," (clutching a beer can and sniffing) This was
Carol's favorite beer. She always drank it out of the can, I should have known."
1,01, Monica Gets A Roommate ,Joey," Hey-hey-hey-hey, if you're
gonna start with that stuff we're outta here."
1,01, Monica Gets A Roommate ,Chandler," Yes, please don't spoil
all this fun."
1,01, Monica Gets A Roommate ,Joey," Ross, let me ask you a question. She got the
furniture, the stereo, the good TV- what did you get?"
1,01, Monica Gets A Roommate ,Ross, You guys.
1,01, Monica Gets A Roommate ,Chandler," Oh, God."
1,01, Monica Gets A Roommate ,Joey, You got screwed.
1,01, Monica Gets A Roommate ,Chandler, Oh my God!
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Monica, Oh my God!
1,01, Monica Gets A Roommate ,Paul," I know, I know, I'm such an idiot. I guess I
should have caught on when she started going to the dentist four and five times a week. I
mean, how clean can teeth get?"
1,01, Monica Gets A Roommate ,Monica," My brother's going through that right now,
he's such a mess. How did you get through it?"
1,01, Monica Gets A Roommate ,Paul," Well, you might try accidentally breaking
something valuable of hers, say her-"
1,01, Monica Gets A Roommate ,Monica, -leg?
1,01, Monica Gets A Roommate ,Paul," (laughing) That's one way! Me, I- I went for
the watch."
1,01, Monica Gets A Roommate ,Monica," You actually broke her watch?  Wow!  The worst thing I ever did was, I-I shredded by
boyfriend's favorite bath towel."
1,01, Monica Gets A Roommate ,Paul," Ooh, steer clear of you."
1,01, Monica Gets A Roommate ,Monica," That's right.
[Scene"
1,01, Monica Gets A Roommate ,Rachel," Barry, I'm sorry... I am so sorry... I know
you probably think that this is all about what I said the other day about you making love
with your socks on, but it isn't... it isn't, it's about me, and I ju- (She stops talking
and dials the phone.) Hi, machine cut me off again... anyway...look,
look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel,
but it isn't me, it's not me.  And not that I have any idea who me is right now, but
you just have to give me a chance too... (The maching cuts her off again and she redials.)"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Ross," I'm divorced!  I'm only
26 and I'm divorced!"
1,01, Monica Gets A Roommate ,Joey, Shut up!
1,01, Monica Gets A Roommate ,Chandler," You must stop! (Chandler
hits what he is working on with a hammer and it collapses.)"
1,01, Monica Gets A Roommate ,Ross, That only took me an hour.
1,01, Monica Gets A Roommate ,Chandler," Look, Ross, you gotta
understand, between us we haven't had a relationship that has lasted longer than a Mento.
  You, however have had the love of a woman for four years.  
Four years of closeness and sharing at the end of which she ripped your heart out, and
that is why we don't do it!  I don't think that was my point!"
1,01, Monica Gets A Roommate ,Ross," You know what the scariest part is? What if
there's only one woman for everybody, y'know? I mean what if you get one woman- and that's
it? Unfortunately in my case, there was only one woman- for her..."
1,01, Monica Gets A Roommate ,Joey," What are you talking about? 'One woman'?
That's like saying there's only one flavor of ice cream for you. Lemme tell you something,
Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing!
Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the
best thing that ever happened to you! You got married, you were, like, what, eight?
Welcome back to the world! Grab a spoon!"
1,01, Monica Gets A Roommate ,Ross, I honestly don't know if I'm hungry or horny.
1,01, Monica Gets A Roommate ,Chandler, Stay out of my freezer! [Scene
1,01, Monica Gets A Roommate ,Paul," Ever since she walked out on me, I, uh..."
1,01, Monica Gets A Roommate ,Monica," What?..... What, you wanna spell it out with
noodles?"
1,01, Monica Gets A Roommate ,Paul," No, it's, it's more of a fifth date kinda
revelation."
1,01, Monica Gets A Roommate ,Monica," Oh, so there is gonna be a fifth date?"
1,01, Monica Gets A Roommate ,Paul, Isn't there?
1,01, Monica Gets A Roommate ,Monica," Yeah... yeah, I think there is. -What were
you gonna say?"
1,01, Monica Gets A Roommate ,Paul," Well, ever-ev-... ever since she left me, um,
I haven't been able to, uh, perform. (Monica takes a sip of her drink.) ...Sexually. "
1,01, Monica Gets A Roommate ,Monica," (spitting out her drink in shock) Oh God, oh
God, I am sorry... I am so sorry..."
1,01, Monica Gets A Roommate ,Paul, It's okay...
1,01, Monica Gets A Roommate ,Monica," I know being spit on is probably not what
you need right now. Um... how long?"
1,01, Monica Gets A Roommate ,Paul, Two years.
1,01, Monica Gets A Roommate ,Monica," Wow! I'm-I'm-I'm glad you smashed her watch!
"
1,01, Monica Gets A Roommate ,Paul," So you still think you, um... might want that
fifth date?"
1,01, Monica Gets A Roommate ,Monica," (pause)...Yeah. Yeah, I do."
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Rachel," Oh...see... but Joanne loved Chachi! That's
the difference!"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Ross," (scornful) Grab a spoon. Do you know how long
it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything
to you? "
1,01, Monica Gets A Roommate ,Joey," Great story!  But, I uh,
I gotta go, I got a date with Andrea--Angela--Andrea...  Oh man, (looks to Chandler)"
1,01, Monica Gets A Roommate ,Chandler," Angela's the screamer,
Andrea has cats."
1,01, Monica Gets A Roommate ,Joey," Right.  Thanks. 
It's June.  I'm outta here. (Exits.)"
1,01, Monica Gets A Roommate ,Ross," Y'know, here's the thing. Even if I could get
it together enough to- to ask a woman out,... who am I gonna ask? (He gazes out of the
window.)"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Rachel," Isn't this amazing? I mean, I have never
made coffee before in my entire life."
1,01, Monica Gets A Roommate ,Chandler, That is amazing.
1,01, Monica Gets A Roommate ,Joey, Congratulations. 
1,01, Monica Gets A Roommate ,Rachel," Y'know, I figure if I can
make coffee, there isn't anything I can't do."
1,01, Monica Gets A Roommate ,Chandler," If can invade Poland,
there isn't anything I can't do."
1,01, Monica Gets A Roommate ,Joey," Listen, while you're on a roll, if you feel
like you gotta make like a Western omelet or something... (Joey and Chandler taste the
coffee, grimace, and pour it into a plant pot.) Although actually I'm really not that
hungry..."
1,01, Monica Gets A Roommate ,Monica," (entering, to herself) Oh
good, Lenny and Squigy are here."
1,01, Monica Gets A Roommate ,All, Morning. Good morning.
1,01, Monica Gets A Roommate ,Paul," (entering from Monica's room)
Morning."
1,01, Monica Gets A Roommate ,Joey," Morning, Paul."
1,01, Monica Gets A Roommate ,Rachel," Hello, Paul."
1,01, Monica Gets A Roommate ,Chandler," Hi, Paul, is it?"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Paul," Thank you!  Thank you so
much!"
1,01, Monica Gets A Roommate ,Monica, Stop!
1,01, Monica Gets A Roommate ,Paul," No, I'm telling you last night
was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness."
1,01, Monica Gets A Roommate ,Monica, We'll talk later.
1,01, Monica Gets A Roommate ,Paul, Yeah. (They kiss) Thank you. (Exits)
1,01, Monica Gets A Roommate ,Joey," That wasn't a real date?! What the hell do you
do on a real date?"
1,01, Monica Gets A Roommate ,Monica," Shut up, and put my table back."
1,01, Monica Gets A Roommate ,All, Okayyy! (They do so.)
1,01, Monica Gets A Roommate ,Chandler," All right, kids, I gotta get to work. If I
don't input those numbers,... it doesn't make much of a difference... "
1,01, Monica Gets A Roommate ,Rachel," So, like, you guys all have jobs?"
1,01, Monica Gets A Roommate ,Monica," Yeah, we all have jobs. See, that's how we
buy stuff."
1,01, Monica Gets A Roommate ,Joey," Yeah, I'm an actor."
1,01, Monica Gets A Roommate ,Rachel, Wow! Would I have seen you in anything?
1,01, Monica Gets A Roommate ,Joey, I doubt it. Mostly regional work.
1,01, Monica Gets A Roommate ,Monica," Oh wait, wait, unless you happened to catch
the Reruns' production of Pinocchio, at the little theater in the
park."
1,01, Monica Gets A Roommate ,Joey," Look, it was a job all right?"
1,01, Monica Gets A Roommate ,Chandler," 'Look, Gippetto, I'm a real live boy.'"
1,01, Monica Gets A Roommate ,Joey," I will not take this abuse. (Walks to the door
and opens it to leave.)"
1,01, Monica Gets A Roommate ,Chandler," You're right, I'm sorry. (Burst into song
and dances out of the door.) ""Once I was a wooden boy, a little wooden boy..."""
1,01, Monica Gets A Roommate ,Joey," You should both know,
that he's a dead man.  Oh, Chandler? (Starts after Chandler.) "
1,01, Monica Gets A Roommate ,Monica," So how you doing today? Did you sleep okay?
Talk to Barry? I can't stop smiling."
1,01, Monica Gets A Roommate ,Rachel," I can see that. You look like you slept with
a hanger in your mouth."
1,01, Monica Gets A Roommate ,Monica," I know, he's just so, so... Do you remember
you and Tony DeMarco?"
1,01, Monica Gets A Roommate ,Rachel," Oh, yeah."
1,01, Monica Gets A Roommate ,Monica," Well, it's like that. With feelings."
1,01, Monica Gets A Roommate ,Rachel, Oh wow. Are you in trouble.
1,01, Monica Gets A Roommate ,Monica, Big time!
1,01, Monica Gets A Roommate ,Rachel," Want a wedding dress?  
Hardly used."
1,01, Monica Gets A Roommate ,Monica," I think we are getting
a little ahead of selves here. Okay. Okay. I am just going to get up, go to work
and not think about him all day. Or else I'm just gonna get up and go to work."
1,01, Monica Gets A Roommate ,Rachel," Oh, look, wish me luck!"
1,01, Monica Gets A Roommate ,Monica, What for?
1,01, Monica Gets A Roommate ,Rachel," I'm gonna go get one of those (Thinks) job
things."
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Phoebe," Oh no, don't hate, you don't
want to put that out into the universe."
1,01, Monica Gets A Roommate ,Monica," Is it me? Is it like I have some sort of
beacon that only dogs and men with severe emotional problems can hear? "
1,01, Monica Gets A Roommate ,Rachel," Oh God, come on you
guys, is this really necessary?  I mean, I can stop charging anytime I want. "
1,01, Monica Gets A Roommate ,Rachel," No.  No, no, I'm not
ready!  How can I be ready?  ""Hey, Rach!  You ready to jump out the
airplane without your parachute?""  Come on, I can't do this!"
1,01, Monica Gets A Roommate ,Monica," You can, I know you
can! "
1,01, Monica Gets A Roommate ,Ross," Come on, you made
coffee!   You can do anything! (Chandler slowly tries to hide the now dead plant from
that morning when he and Joey poured their coffee into it.)"
1,01, Monica Gets A Roommate ,Rachel," Y'know what?  I think
we can just leave it at that.  It's kinda like a symbolic gesture..."
1,01, Monica Gets A Roommate ,Monica,"  Rachel! 
That was a library card! "
1,01, Monica Gets A Roommate ,Chandler," (as Rachel is cutting up
her cards) Y'know, if you listen closely, you can hear a thousand retailers scream. "
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Monica," Welcome to the real world! It sucks. You're
gonna love it! "
1,01, Monica Gets A Roommate ,Ross and Rachel, Goodnight.
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,All, Yes!
1,01, Monica Gets A Roommate ,Monica," I said that you had a nice
butt, it's just not a great butt."
1,01, Monica Gets A Roommate ,Joey," Oh, you wouldn't know a great
butt if it came up and bit ya."
1,01, Monica Gets A Roommate ,Ross," There's an image.
"
1,01, Monica Gets A Roommate ,,
1,01, Monica Gets A Roommate ,Chandler," Okay, so, I'm in Las
Vegas... I'm Liza Minelli- "
1,02, The Sonogram At The End ,,
1,02, The Sonogram At The End ,Monica," What you guys don't understand is, for us,
kissing is as important as any part of it. "
1,02, The Sonogram At The End ,,
1,02, The Sonogram At The End ,Chandler," Oh, I think this is the episode of Three's
Company where there's some kind of misunderstanding. "
1,02, The Sonogram At The End ,Joey," Alright, when'd'ya have it on last?"
1,02, The Sonogram At The End ,Phoebe, Doy! Probably right before she lost it! 
1,02, The Sonogram At The End ,Ross, (standing outside the door).....Hi. 
1,02, The Sonogram At The End ,,
1,02, The Sonogram At The End ,Mr. Geller," Look, there are people like Ross who
need to shoot for the stars, with his museum, and his papers getting published. Other
people are satisfied with staying where they are- I'm telling you, these are the people
who never get cancer. "
1,02, The Sonogram At The End ,,
1,03, The Thumb ,,
1,04, George Stephanopoulos ,,
1,04, George Stephanopoulos ,Monica, Alright. Phoebe? 
1,04, George Stephanopoulos ,Phoebe," Okay, okay. If I were omnipotent for a day,
I would want, um, world peace, no more hunger, good things for the rain-forest...And
bigger boobs! "
1,04, George Stephanopoulos ,Ross," Yeah, see.. you took mine. Chandler, what
about you? "
1,04, George Stephanopoulos ,Chandler," Uh, if I were omnipotent for a day, I'd..
make myself omnipotent forever. "
1,04, George Stephanopoulos ,Rachel," See, there's always one guy. (Mocking)
""If I had a wish, I'd wish for three more wishes."" (Joey enters.) "
1,04, George Stephanopoulos ,All," Hey Joey. Hi. Hey, buddy. "
1,04, George Stephanopoulos ,Monica," Hey, Joey, what would you do if you were
omnipotent? "
1,04, George Stephanopoulos ,Joey, Probably kill myself! 
1,04, George Stephanopoulos ,Monica, ..Excuse me? 
1,04, George Stephanopoulos ,Joey," Hey, if Little Joey's dead, then I got no
reason to live! "
1,04, George Stephanopoulos ,Ross," Joey, uh- OMnipotent. "
1,04, George Stephanopoulos ,Joey," You are? Ross, I'm sorry.. "
1,04, George Stephanopoulos ,,
1,04, George Stephanopoulos ,Monica, How does she do that? 
1,04, George Stephanopoulos ,Ross, I cannot sleep in a public place. 
1,04, George Stephanopoulos ,Monica, Would you look at her? She is so peaceful. 
1,04, George Stephanopoulos ,Phoebe," (waking and startling them) Oh! What what
what! ...Hi. "
1,04, George Stephanopoulos ,Ross," It's okay, y'know, you just nodded off again. "
1,04, George Stephanopoulos ,Monica, What's going on with you? 
1,04, George Stephanopoulos ,Phoebe, I got no sleep last night! 
1,04, George Stephanopoulos ,Ross, Why? 
1,04, George Stephanopoulos ,Phoebe," My grandmother has this new boyfriend, and
they're both kind of insecure in bed. Oh, and deaf. So they're constantly, like, having to
reassure each other that they're having a good time. You have no idea how loud they are! "
1,04, George Stephanopoulos ,Monica," Well, if you want, you can stay with Rachel
and me tonight. "
1,04, George Stephanopoulos ,Phoebe, Thanks. 
1,04, George Stephanopoulos ,,
1,04, George Stephanopoulos ,Joey," ...Ninety-five, ninety-six, ninety-seven. See,
I told you! Less than a hundred steps from our place to here. "
1,04, George Stephanopoulos ,Chandler, You got waaaay too much free time. 
1,04, George Stephanopoulos ,Joey," (to Ross) Hey! Here's the birthday boy! Ross,
check it out"
1,04, George Stephanopoulos ,Chandler," Happy birthday, pal! "
1,04, George Stephanopoulos ,Joey," We love you, man. (Kisses Ross) "
1,04, George Stephanopoulos ,Ross," Funny, my birthday was seven months ago. "
1,04, George Stephanopoulos ,Joey, So? 
1,04, George Stephanopoulos ,Ross," So, I'm guessing you had an extra ticket and
couldn't decide which one of you got to bring a date? "
1,04, George Stephanopoulos ,Chandler," Well, aren't we Mr. ""The glass is
half empty."" "
1,04, George Stephanopoulos ,Ross," Oh my God, oh- is today the twentieth, October
twentieth? "
1,04, George Stephanopoulos ,Monica," Oh, I was hoping you wouldn't remember. "
1,04, George Stephanopoulos ,Ross, Ohhh. 
1,04, George Stephanopoulos ,Joey, What's wrong with the twentieth? 
1,04, George Stephanopoulos ,Chandler," Eleven days before Halloween.. all the
good costumes are gone? "
1,04, George Stephanopoulos ,Ross," Today's the day Carol and I first..
consummated our physical relationship. (Joey is puzzled.) Sex. ..You know what, I-I'd
better pass on the game. I think I'm just gonna go home and think about my ex-wife and her
lesbian lover. "
1,04, George Stephanopoulos ,Joey," The hell with hockey, let's all do that! "
1,04, George Stephanopoulos ,Chandler," (trying to stop Ross leaving) C'mon, Ross!
You, me, Joey, ice, guys' night out, c'mon, whaddya say, big guy, (Pretending to punch him
in the stomach.) Huh? Huh? Huh? "
1,04, George Stephanopoulos ,Ross, What are you doing? 
1,04, George Stephanopoulos ,Chandler, (stops) I have no idea. 
1,04, George Stephanopoulos ,Joey," C'mon, Ross! "
1,04, George Stephanopoulos ,Ross," Alright, alright, maybe it'll take my mind off
it. Do you promise to buy me a big thumb finger? "
1,04, George Stephanopoulos ,Chandler, You got it.
1,04, George Stephanopoulos ,,
