season,episode,character,dialogue
s01,e01,Monica Geller,Who wasn't invited to the wedding.
s01,e01,Rachel Green,"Ooh, I was kinda hoping that wouldn't be an issue..."
s01,e01,Monica Geller,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it."
s01,e01,Chandler Bing,Tuna or egg salad? Decide!
s01,e01,Ross Geller,I'll have whatever Christine is having.
s01,e01,Rachel Green,"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!"
s01,e01,Phoebe Buffay,"If I let go of my hair, my head will fall off."
s01,e01,Chandler Bing,"Ooh, she should not be wearing those pants."
s01,e01,Joey Tribbiani,I say push her down the stairs.
s01,e01,Chandler Bing,Push her down the stairs! Push her down the stairs! Push her down the stairs!
s01,e01,Rachel Green,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
s01,e01,Ross Geller,You can see where he'd have trouble.
s01,e01,Rachel Green,"Look Daddy, it's my life. Well maybe I'll just stay here with Monica."
s01,e01,Monica Geller,"Well, I guess we've established who's staying here with Monica..."
s01,e01,Rachel Green,"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!"
s01,e01,Monica Geller,"Just breathe, breathe.. that's it. Just try to think of nice calm things..."
s01,e01,Phoebe Buffay,"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few..."
s01,e01,Rachel Green,I'm all better now.
s01,e01,Phoebe Buffay,I helped!
s01,e01,Monica Geller,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing."
s01,e01,Joey Tribbiani,"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot."
s01,e01,Monica Geller,"Joey, stop hitting on her! It's her wedding day!"
s01,e01,Joey Tribbiani,"What, like there's a rule or something?"
s01,e01,Chandler Bing,"Please don't do that again, it's a horrible sound."
s01,e01,Monica Geller,"Oh God, is it 6:30? Buzz him in!"
s01,e01,Joey Tribbiani,Who's Paul?
s01,e01,Ross Geller,"Paul the Wine Guy, Paul?"
s01,e01,Monica Geller,Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?
s01,e01,Ross Geller,He finally asked you out?
s01,e01,Chandler Bing,"Ooh, this is a Dear Diary moment."
s01,e01,Monica Geller,"Rach, wait, I can cancel..."
s01,e01,Rachel Green,"Please, no, go, that'd be fine!"
s01,e01,Monica Geller,"Are, are you okay? I mean, do you want me to stay?"
s01,e01,Ross Geller,That'd be good...
s01,e01,Ross Geller,"No, go on! It's Paul the Wine Guy!"
s01,e01,Phoebe Buffay,"What does that mean? Does he sell it, drink it, or just complain a lot?"
s01,e01,Monica Geller,"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul."
s01,e01,Chandler Bing,"I'm sorry, I didn't catch your name. Paul, was it?"
s01,e01,Monica Geller,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah..."
s01,e01,Ross Geller,A wandering?
s01,e01,Monica Geller,"Change! Okay, sit down. Two seconds."
s01,e01,Phoebe Buffay,"Ooh, I just pulled out four eyelashes. That can't be good."
s01,e01,Joey Tribbiani,"Hey, Paul!"
s01,e01,Joey Tribbiani,"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red."
s01,e01,Monica Geller,"Shut up, Joey!"
s01,e01,Ross Geller,"So Rachel, what're you, uh... what're you up to tonight?"
s01,e01,Rachel Green,"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!"
s01,e01,Ross Geller,"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture."
s01,e01,Chandler Bing,"Yes, and we're very excited about it."
s01,e01,Rachel Green,"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day."
s01,e01,Ross Geller,"Okay, sure."
s01,e01,Joey Tribbiani,"Hey Pheebs, you wanna help?"
s01,e01,Phoebe Buffay,"Oh, I wish I could, but I don't want to."
s01,e01,Phoebe Buffay,"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- Thank you. La-la-la-la...ohhh!"
s01,e01,Ross Geller,"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs."
s01,e01,Joey Tribbiani,I'm thinking we've got a bookcase here.
s01,e01,Chandler Bing,It's a beautiful thing.
s01,e01,Joey Tribbiani,What's this?
s01,e01,Chandler Bing,I would have to say that is an 'L'-shaped bracket.
s01,e01,Joey Tribbiani,Which goes where?
s01,e01,Chandler Bing,I have no idea.
s01,e01,Joey Tribbiani,Done with the bookcase!
s01,e01,Chandler Bing,All finished!
s01,e01,Ross Geller,"This was Carol's favorite beer. She always drank it out of the can, I should have known."
s01,e01,Joey Tribbiani,"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here."
s01,e01,Chandler Bing,"Yes, please don't spoil all this fun."
s01,e01,Joey Tribbiani,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?"
s01,e01,Ross Geller,You guys.
s01,e01,Chandler Bing,"Oh, God."
s01,e01,Joey Tribbiani,You got screwed.
s01,e01,Chandler Bing,Oh my God!
s01,e01,Monica Geller,Oh my God!
s01,e01,Monica Geller,"My brother's going through that right now, he's such a mess. How did you get through it?"
s01,e01,Monica Geller,"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel."
s01,e01,Monica Geller,That's right.
s01,e01,Rachel Green,"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too..."
s01,e01,Ross Geller,I'm divorced! I'm only 26 and I'm divorced!
s01,e01,Joey Tribbiani,Shut up!
s01,e01,Chandler Bing,You must stop!
s01,e01,Ross Geller,That only took me an hour.
s01,e01,Chandler Bing,"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!"
s01,e01,Ross Geller,"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her..."
s01,e01,Joey Tribbiani,"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!"
s01,e01,Ross Geller,I honestly don't know if I'm hungry or horny.
s01,e01,Chandler Bing,Stay out of my freezer!
s01,e01,Monica Geller,"What?..... What, you wanna spell it out with noodles?"
s01,e01,Monica Geller,"Oh, so there is gonna be a fifth date?"
s01,e01,Monica Geller,"Yeah... yeah, I think there is. -What were you gonna say?"
s01,e01,Monica Geller,"Oh God, oh God, I am sorry... I am so sorry..."
s01,e01,Monica Geller,I know being spit on is probably not what you need right now. Um... how long?
s01,e01,Monica Geller,Wow! I'm-I'm-I'm glad you smashed her watch!
s01,e01,Monica Geller,"...Yeah. Yeah, I do."
s01,e01,Rachel Green,Oh...see... but Joanne loved Chachi! That's the difference!
s01,e01,Ross Geller,"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?"
s01,e01,Joey Tribbiani,"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,"
s01,e01,Chandler Bing,"Angela's the screamer, Andrea has cats."
s01,e01,Joey Tribbiani,Right. Thanks. It's June. I'm outta here.
s01,e01,Ross Geller,"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?"
s01,e01,Rachel Green,"Isn't this amazing? I mean, I have never made coffee before in my entire life."
s01,e01,Chandler Bing,That is amazing.
s01,e01,Rachel Green,"Y'know, I figure if I can make coffee, there isn't anything I can't do."
s01,e01,Chandler Bing,"If can invade Poland, there isn't anything I can't do."
s01,e01,Joey Tribbiani,"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry..."
s01,e01,Monica Geller,"Oh good, Lenny and Squigy are here."
s01,e01,Joey Tribbiani,"Morning, Paul."
s01,e01,Rachel Green,"Hello, Paul."
s01,e01,Chandler Bing,"Hi, Paul, is it?"
s01,e01,Monica Geller,We'll talk later.
s01,e01,Joey Tribbiani,That wasn't a real date?! What the hell do you do on a real date?
s01,e01,Monica Geller,"Shut up, and put my table back."
s01,e01,Chandler Bing,"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference..."
s01,e01,Rachel Green,"So, like, you guys all have jobs?"
s01,e01,Monica Geller,"Yeah, we all have jobs. See, that's how we buy stuff."
s01,e01,Joey Tribbiani,"Yeah, I'm an actor."
s01,e01,Rachel Green,Wow! Would I have seen you in anything?
s01,e01,Joey Tribbiani,I doubt it. Mostly regional work.
s01,e01,Monica Geller,"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park."
s01,e01,Joey Tribbiani,"Look, it was a job all right?"
s01,e01,Chandler Bing,"'Look, Gippetto, I'm a real live boy.'"
s01,e01,Joey Tribbiani,I will not take this abuse.
s01,e01,Chandler Bing,"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy..."""
s01,e01,Joey Tribbiani,"You should both know, that he's a dead man. Oh, Chandler?"
s01,e01,Monica Geller,So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.
s01,e01,Rachel Green,I can see that. You look like you slept with a hanger in your mouth.
s01,e01,Monica Geller,"I know, he's just so, so... Do you remember you and Tony DeMarco?"
s01,e01,Rachel Green,"Oh, yeah."
s01,e01,Monica Geller,"Well, it's like that. With feelings."
s01,e01,Rachel Green,Oh wow. Are you in trouble.
s01,e01,Monica Geller,Big time!
s01,e01,Rachel Green,Want a wedding dress? Hardly used.
s01,e01,Monica Geller,"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work."
s01,e01,Rachel Green,"Oh, look, wish me luck!"
s01,e01,Monica Geller,What for?
s01,e01,Rachel Green,I'm gonna go get one of those job things.
s01,e01,Monica Geller,"Hey Frannie, welcome back! How was Florida?"
s01,e01,Monica Geller,How do you do that?
s01,e01,Monica Geller,You know Paul?
s01,e01,Monica Geller,You mean you know Paul like I know Paul?
s01,e01,Joey Tribbiani,Of course it was a line!
s01,e01,Monica Geller,"Why?! Why? Why, why would anybody do something like that?"
s01,e01,Ross Geller,I assume we're looking for an answer more sophisticated than 'to get you into bed'.
s01,e01,Monica Geller,I hate men! I hate men!
s01,e01,Phoebe Buffay,"Oh no, don't hate, you don't want to put that out into the universe."
s01,e01,Monica Geller,Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?
s01,e01,Phoebe Buffay,"All right, c'mere, gimme your feet."
s01,e01,Monica Geller,"I just thought he was nice, y'know?"
s01,e01,Joey Tribbiani,I can't believe you didn't know it was a line!
s01,e01,Rachel Green,Guess what?
s01,e01,Ross Geller,You got a job?
s01,e01,Rachel Green,Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.
s01,e01,Chandler Bing,And yet you're surprisingly upbeat.
s01,e01,Rachel Green,"You would be too if you found John and David boots on sale, fifty percent off!"
s01,e01,Chandler Bing,"Oh, how well you know me..."
s01,e01,Rachel Green,"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!"
s01,e01,Monica Geller,How'd you pay for them?
s01,e01,Rachel Green,"Uh, credit card."
s01,e01,Monica Geller,And who pays for that?
s01,e01,Rachel Green,Um... my... father.
s01,e01,Rachel Green,"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want."
s01,e01,Monica Geller,"C'mon, you can't live off your parents your whole life."
s01,e01,Rachel Green,I know that. That's why I was getting married.
s01,e01,Phoebe Buffay,"Give her a break, it's hard being on your own for the first time."
s01,e01,Rachel Green,Thank you.
s01,e01,Phoebe Buffay,"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel."
s01,e01,Ross Geller,The word you're looking for is 'Anyway'...
s01,e01,Monica Geller,"All right, you ready?"
s01,e01,Rachel Green,"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!"
s01,e01,Monica Geller,"You can, I know you can!"
s01,e01,Rachel Green,I don't think so.
s01,e01,Ross Geller,"Come on, you made coffee! You can do anything!"
s01,e01,Ross Geller,"C'mon, cut. Cut, cut, cut,..."
s01,e01,Rachel Green,Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...
s01,e01,Monica Geller,Rachel! That was a library card!
s01,e01,Chandler Bing,"Y'know, if you listen closely, you can hear a thousand retailers scream."
s01,e01,Monica Geller,Welcome to the real world! It sucks. You're gonna love it!
s01,e01,Monica Geller,"Well, that's it You gonna crash on the couch?"
s01,e01,Ross Geller,"No. No, I gotta go home sometime."
s01,e01,Monica Geller,You be okay?
s01,e01,Rachel Green,"Hey Mon, look what I just found on the floor. What?"
s01,e01,Monica Geller,"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody."
s01,e01,Ross Geller,"Mmm. Oh, no-"
s01,e01,Ross Geller,"No no no, go-"
s01,e01,Rachel Green,"No, you have it, really, I don't want it-"
s01,e01,Ross Geller,Split it?
s01,e01,Ross Geller,"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you."
s01,e01,Rachel Green,I knew.
s01,e01,Ross Geller,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
s01,e01,Rachel Green,I did.
s01,e01,Ross Geller,"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?"
s01,e01,Rachel Green,"Yeah, maybe..."
s01,e01,Ross Geller,"Okay... okay, maybe I will..."
s01,e01,Monica Geller,"See ya.... Waitwait, what's with you?"
s01,e01,Ross Geller,I just grabbed a spoon.
s01,e01,Joey Tribbiani,I can't believe what I'm hearing here.
s01,e01,Phoebe Buffay,I can't believe what I'm hearing here...
s01,e01,Monica Geller,What? I-I said you had a-
s01,e01,Phoebe Buffay,What I said you had...
s01,e01,Monica Geller,Would you stop?
s01,e01,Phoebe Buffay,"Oh, was I doing it again?"
s01,e01,Monica Geller,"I said that you had a nice butt, it's just not a great butt."
s01,e01,Joey Tribbiani,"Oh, you wouldn't know a great butt if it came up and bit ya."
s01,e01,Ross Geller,There's an image.
s01,e01,Rachel Green,Would anybody like more coffee?
s01,e01,Chandler Bing,"Did you make it, or are you just serving it?"
s01,e01,Rachel Green,I'm just serving it.
s01,e01,Chandler Bing,"Kids, new dream... I'm in Las Vegas."
s01,e01,Rachel Green,"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas."
s01,e01,Chandler Bing,"Okay, so, I'm in Las Vegas... I'm Liza Minelli-"
s01,e02,Monica Geller,"What you guys don't understand is, for us, kissing is as important as any part of it."
s01,e02,Joey Tribbiani,"Yeah, right!.......Y'serious?"
s01,e02,Phoebe Buffay,"Oh, yeah!"
s01,e02,Rachel Green,Everything you need to know is in that first kiss.
s01,e02,Chandler Bing,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out."
s01,e02,Ross Geller,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket."
s01,e02,Chandler Bing,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake."
s01,e02,Rachel Green,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone."
s01,e02,Joey Tribbiani,....Are we still talking about sex?
s01,e02,Ross Geller,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?"
s01,e02,Ross Geller,Does she.
s01,e02,Ross Geller,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?"
s01,e02,Ross Geller,No. No.
s01,e02,Ross Geller,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age."
s01,e02,Ross Geller,"You look great. I, uh... I hate that."
s01,e02,Ross Geller,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh..."
s01,e02,Ross Geller,"Well... you never know. How's, um.. how's the family?"
s01,e02,Ross Geller,"Why- why are you here, Carol?"
s01,e02,Chandler Bing,"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding."
s01,e02,Phoebe Buffay,...Then I've already seen this one!
s01,e02,Monica Geller,Are you through with that?
s01,e02,Joey Tribbiani,"Yeah, sorry, the swallowing slowed me down."
s01,e02,Monica Geller,Whose little ball of paper is this?!
s01,e02,Chandler Bing,"Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... ...now I wish I was dead."
s01,e02,Phoebe Buffay,"She's already fluffed that pillow... Monica, you know, you've already fluffed that- -but, it's fine!"
s01,e02,Monica Geller,"Look , I'm sorry, guys, I just don't wanna give them any more ammunition than they already have."
s01,e02,Chandler Bing,"Yes, and we all know how cruel a parent can be about the flatness of a child's pillow."
s01,e02,Phoebe Buffay,"Monica- Hi! Um, Monica, you're scaring me. I mean, you're like, you're like all chaotic and twirly. And not-not in a good way."
s01,e02,Joey Tribbiani,"Yeah, calm down. You don't see Ross getting all chaotic and twirly every time they come."
s01,e02,Monica Geller,"That's because as far as my parents are concerned, Ross can do no wrong. Y'see, he's the Prince. Apparently they had some big ceremony before I was born."
s01,e02,Chandler Bing,"Ew, ew, ew, ew ew ew ew ew!"
s01,e02,Chandler Bing,Ugly Naked Guy got a Thighmaster!
s01,e02,Rachel Green,Has anybody seen my engagement ring?
s01,e02,Phoebe Buffay,"Yeah, it's beautiful."
s01,e02,Rachel Green,"Oh God, oh God, oh God oh God oh God oh God...."
s01,e02,Phoebe Buffay,"No, look, don't touch that!"
s01,e02,Rachel Green,"Oh, like I wasn't dreading tomorrow enough, having to give it back to him... 'Hi Barry! Remember me? I'm the girl in the veil who stomped on your heart in front of your entire family!' Oh God and now I'm gonna have to return the ring, without the ring, which makes it so much harder..."
s01,e02,Monica Geller,"Easy Rach, we'll find it. Won't we!"
s01,e02,Chandler Bing,Oh! Yeah!
s01,e02,Joey Tribbiani,"Alright, when'd'ya have it on last?"
s01,e02,Phoebe Buffay,Doy! Probably right before she lost it!
s01,e02,Chandler Bing,You don't get a lot of 'doy' these days...
s01,e02,Rachel Green,"I know I had it this morning, and I know I had it when I was in the kitchen with..."
s01,e02,Rachel Green,"Ohhhhh, don't be mad..."
s01,e02,Monica Geller,You didn't.
s01,e02,Rachel Green,"Oh, I am sorry..."
s01,e02,Monica Geller,I gave you one job!
s01,e02,Rachel Green,"Oh, but look how straight those noodles are!"
s01,e02,Chandler Bing,"Now, Monica, you know that's not how you look for an engagement ring in a lasagne..."
s01,e02,Monica Geller,I just... can't do it.
s01,e02,Chandler Bing,Boys? We're going in.
s01,e02,Monica Geller,Wow. That is not a happy hi.
s01,e02,Ross Geller,Carol's pregnant.
s01,e02,Phoebe Buffay,Ooh! I found it!
s01,e02,Monica Geller,W-w-wh-... wha-... w-w-w-...
s01,e02,Ross Geller,"Yeah. Do that for another two hours, you might be where I am right about now."
s01,e02,Chandler Bing,"Kinda puts that whole pillow thing in perspective, huh, Mon?"
s01,e02,Rachel Green,"Well now, how-how do you fit into this whole thing?"
s01,e02,Ross Geller,"Well, Carol says she and Susan want me to be involved, but if I'm not comfortable with it, I don't have to be involved.. basically it's entirely up to me."
s01,e02,Phoebe Buffay,She is so great! I miss her.
s01,e02,Monica Geller,What does she mean by 'involved'?
s01,e02,Chandler Bing,"I mean presumably, the biggest part of your job is done."
s01,e02,Ross Geller,"Anyway, they want me to go down to this- sonogram thing with them tomorrow."
s01,e02,Rachel Green,So what are you gonna do?
s01,e02,Ross Geller,"I have no idea. No matter what I do, though, I'm still gonna be a father."
s01,e02,Joey Tribbiani,".....Well, this is still ruined, right?"
s01,e02,Ross Geller,"I- I think they're great! I, I really do."
s01,e02,Ross Geller,"Do you remember the Ludwins? The big one had a thing for you, didn't she?"
s01,e02,Ross Geller,"Aw, Mom..."
s01,e02,Monica Geller,"I'm sorry, why is this girl going to call me?"
s01,e02,Monica Geller,"No Mom, I don't have a restaurant, I work in a restaurant."
s01,e02,Monica Geller,"Ross, could you come and help me with the spaghetti, please?"
s01,e02,Monica Geller,"I know this is going to sound unbelievably selfish, but, were you planning on bringing up the whole baby/lesbian thing? Because I think it might take some of the heat off me."
s01,e02,Ross Geller,I'm not gonna tell you what they spent on that wedding... but forty thousand dollars is a lot of money!
s01,e02,Monica Geller,What's that supposed to mean?
s01,e02,Monica Geller,No it's not.
s01,e02,Ross Geller,"Don't listen to your mother. You're independent, and you always have been! Even when you were a kid... and you were chubby, and you had no friends, you were just fine! And you would read alone in your room, and your puzzles..."
s01,e02,Ross Geller,"Look, there are people like Ross who need to shoot for the stars, with his museum, and his papers getting published. Other people are satisfied with staying where they are- I'm telling you, these are the people who never get cancer."
s01,e02,Ross Geller,"...And I read about these women trying to have it all, and I thank God 'Our Little Harmonica' doesn't seem to have that problem."
s01,e02,Monica Geller,"So, Ross, what's going on with you? Any stories? No news, no little anecdotes to share with the folks?"
s01,e02,Ross Geller,"Okay! Okay. Look, I, uh- I realise you guys have been wondering what exactly happened between Carol and me, and, so, well, here's the deal. Carol's a lesbian. She's living with a woman named Susan. She's pregnant with my child, and she and Susan are going to raise the baby."
s01,e02,Joey Tribbiani,"Your folks are really that bad, huh?"
s01,e02,Ross Geller,"Well, y'know, these people are pros. They know what they're doing, they take their time, they get the job done."
s01,e02,Monica Geller,"Boy, I know they say you can't change your parents,... boy, if you could- -I'd want yours."
s01,e02,Ross Geller,Must pee.
s01,e02,Phoebe Buffay,"Y'know, it's even worse when you're twins."
s01,e02,Rachel Green,You're twins?
s01,e02,Phoebe Buffay,"Yeah. We don't speak. She's like this high-powered, driven career type."
s01,e02,Chandler Bing,What does she do?
s01,e02,Phoebe Buffay,She's a waitress.
s01,e02,Rachel Green,"All right, you guys, I kinda gotta clean up now."
s01,e02,Monica Geller,"Chandler, you're an only child, right? You don't have any of this."
s01,e02,Chandler Bing,"Well, no, although I did have an imaginary friend, who... my parents actually preferred."
s01,e02,Rachel Green,"The lights, please.."
s01,e02,Ross Geller,...How long was I in there?
s01,e02,Rachel Green,I'm just cleaning up.
s01,e02,Ross Geller,D'ya.. uh.. d'ya need any help?
s01,e02,Rachel Green,"Uh.. okay, sure! Thanks!"
s01,e02,Ross Geller,"Anyway.. um.. So, you- uh- you nervous about Barry tomorrow?"
s01,e02,Rachel Green,Oh.. a little..
s01,e02,Rachel Green,A lot.
s01,e02,Rachel Green,"So, got any advice? Y'know, as someone who's recently been- dumped?"
s01,e02,Ross Geller,"Well, you may wanna steer clear of the word 'dumped'. Chances are he's gonna be this, this broken shell of a man, y'know, so you should try not to look too terrific, I know it'll be hard. Or, y'know, uh, hey!, I'll go down there, and I'll give Barry back his ring, and you can go with Carol and Susan to the OB/GYN..."
s01,e02,Rachel Green,"Oh, you've got Carol tomorrow.. When did it get so complicated?"
s01,e02,Ross Geller,Got me.
